row_id,population,renter_occupied_households,pct_renter_occupied,evictions,rent_burden,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,poverty_rate,pct_civilian_labor,pct_unemployment,pct_adult_obesity,pct_adult_smoking,pct_diabetes,pct_low_birthweight,pct_excessive_drinking,pct_physical_inactivity,pct_female,pct_below_18_years_of_age,pct_aged_65_years_and_older,pct_adults_less_than_a_high_school_diploma,pct_adults_with_high_school_diploma,pct_adults_with_some_college,pct_adults_bachelors_or_higher,gross_rent
0,3876,408,24.583,0,18.38,0.945944866,0.010761068,0.026038388,0.005685281,0.005635323,0,0.005935074,0,4.172,0.55,0.023,0.31,0.166,0.1,0,0.262,0.342,0.471,0.218,0.19,0.083249749,0.327983952,0.389167503,0.199598796,577
1,10224,1166,28.346,3,26.694,0.808959381,0.002284432,0.173426447,0.001803499,0.001492896,0,0.012033345,0,7.714,0.545,0.04,0.253,0.102,0.066,0.07,0.2,0.148,0.472,0.29,0.077,0.099099099,0.202202202,0.302302302,0.396396396,844
2,27023,2927,21.641,9,31.028,0.956620591,0.005140742,0.013088268,0.004728275,0.004708155,0,0.014808555,0.000905414,9.789,0.508,0.063,0.296,0.215,0.087,0.07,0.187,0.258,0.496,0.208,0.192,0.137724551,0.387225549,0.255489022,0.219560878,700
3,8735,1039,23.11,0,27.734,0.89483527,0.000298424,0.07657568,0.000994748,0.00429731,0,0.022998568,0,13.735,0.545,0.038,0.255,0.182,0.104,0.081,0.169,0.274,0.503,0.193,0.215,0.077154309,0.308617234,0.398797595,0.215430862,592
4,3681,365,21.985,2,19.673,0.923885868,0.000496051,0.042888607,0,0.013621572,0,0.016905433,0.002202468,8.217,0.474,0.034,0.324,0.118,0.113,0,0.178,0.34,0.516,0.222,0.23,0.092537313,0.362189055,0.346268657,0.199004975,444
5,8540,751,22.543,0,34.937,0.560636974,0.417546653,0.000597163,0.001293854,0,0,0.019925355,0,21.051,0.361,0.11,0.322,0,0.148,0.129,0,0.317,0.515,0.199,0.185,0.317,0.388,0.198,0.097,531
6,22712,1901,24.602,19,29.242,0.929798543,0.005563961,0.039415535,0.00238882,0.005106103,0,0.016234025,0.001493013,9.651,0.47,0.061,0.275,0.294,0.108,0.07,0.299,0.231,0.494,0.218,0.162,0.142572283,0.287138584,0.292123629,0.278165503,976
7,27974,3873,38.012,49,29.966,0.537083739,0.008489049,0.396900256,0.017047598,0.024533847,0.002472249,0.013473262,0,15.655,0.462,0.106,0.267,0.15,0.078,0.05,0.169,0.188,0.497,0.278,0.141,0.249003984,0.293824701,0.307768924,0.14940239,725
8,2027,295,55.572,0,21.808,0.184898674,0.001981486,0.010407806,0.749382037,0,0.016572429,0.036757568,0,36.12,0.353,0.077,0.421,0.419,0.177,0.07,0.274,0.384,0.5,0.415,0.075,0.181455633,0.432701894,0.29112662,0.094715852,533
9,17165,2223,29.769,0,28.664,0.961331987,0.009077186,0.011856325,0.002779138,0.000799752,0,0.014055643,1.00E-04,17.793,0.41,0.073,0.379,0.163,0.124,0.081,0,0.327,0.51,0.223,0.19,0.177532598,0.425275827,0.26780341,0.129388164,531
10,963541,191320,50.311,6749,32.229,0.528536576,0.263288405,0.141233052,0.004929408,0.037375515,1.00E-04,0.023437188,0.001099868,17.115,0.504,0.069,0.316,0.208,0.1,0.091,0.214,0.249,0.515,0.247,0.118,0.134730539,0.28243513,0.293413174,0.289421158,806
11,2352,277,25.94,0,21.172,0.965858166,0.012410696,0.003865301,0.009409871,0.002086666,0,0.0063693,0,4.165,0.519,0.024,0.303,0.157,0.098,0,0.179,0.32,0.494,0.177,0.275,0.117412935,0.377114428,0.325373134,0.180099502,406
12,7218,823,26.178,3,30.468,0.428117887,0.058903398,0.493400823,0.00079869,0.000788707,0,0.015814065,0.002176431,16.538,0.484,0.043,0.301,0,0.118,0.08,0,0.291,0.497,0.233,0.202,0.199199199,0.362362362,0.341341341,0.097097097,645
13,244240,21112,22.737,512,31.793,0.795075988,0.116305792,0.05193793,0.003726981,0.015257641,9.99E-05,0.01477803,0.002817718,8.758,0.467,0.057,0.29,0.204,0.104,0.08,0.2,0.246,0.516,0.248,0.138,0.115308151,0.269383698,0.310139165,0.305168986,984
14,17882,1898,25.902,0,23.007,0.740953734,0.004820675,0.160932531,0.010101414,0.066539316,0.000900126,0.011181565,0.00457064,4.139,0.473,0.042,0.185,0.094,0.068,0.1,0.114,0.154,0.496,0.233,0.157,0.02994012,0.107784431,0.219560878,0.642714571,931
15,991145,195220,47.798,4190,30.317,0.403998355,0.435365279,0.07675718,0.001905889,0.06255329,0.00030093,0.016801918,0.00231716,12.916,0.517,0.071,0.23,0.133,0.08,0.111,0.179,0.197,0.512,0.234,0.096,0.090727817,0.180458624,0.235294118,0.493519442,1001
16,1218942,198288,35.131,3434,28.559,0.7956409,0.129331318,0.018421553,0.001011183,0.032347847,0.000200234,0.021435079,0.001611886,9.043,0.52,0.053,0.275,0.192,0.092,0.08,0.191,0.249,0.519,0.194,0.169,0.066331658,0.298492462,0.259296482,0.375879397,780
17,87762,11465,29.449,112,32.547,0.939076006,0.02318927,0.012896175,0.001698957,0.011117735,0.000298063,0.011227024,0.000496771,9.458,0.497,0.061,0.296,0.174,0.098,0.07,0.157,0.263,0.507,0.183,0.161,0.114228457,0.43987976,0.221442886,0.224448898,694
18,41839,3341,20.694,110,26.952,0.848957032,0.06517676,0.063747489,0.003498216,0.004107905,0,0.012413669,0.00209893,8.205,0.476,0.059,0.282,0.225,0.119,0.081,0.123,0.26,0.512,0.228,0.18,0.148554337,0.319042871,0.290129611,0.24227318,674
19,17479,1801,22.804,12,30.329,0.968957893,0.005248377,0.011064415,0.001772696,0.003495598,0.000199179,0.007658447,0.001603394,11.567,0.442,0.074,0.318,0.179,0.112,0.08,0.181,0.273,0.496,0.214,0.204,0.12248996,0.479919679,0.239959839,0.157630522,609
20,33020,4079,29.231,114,27.552,0.609130626,0.286307054,0.087615704,0.003959863,0.001386451,0,0.011301069,0.000299234,12.208,0.492,0.067,0.356,0.214,0.129,0.1,0.152,0.307,0.51,0.212,0.199,0.197407777,0.398803589,0.216350947,0.187437687,733
